iso3,lat,lon
LIE,47.136658411904506,9.535743003583127
LBY,27.030945011203794,18.00866153290339
LBR,6.452784772770829,-9.322075693254718
LSO,-29.58003187269936,28.227231387806484
LBN,33.92306610907399,35.88016069601202
LVA,56.85085164420332,24.912359744426897
LAO,18.50217428233622,103.73772411515803
KGZ,41.46221939900487,74.54165517599276
KWT,29.3343123882136,47.587004534959476
KIR,0.8600138794013606,-45.611330495603234
KEN,0.5998802079240542,37.79593973206258
KAZ,48.156880671690004,67.29149355323464
JOR,31.24579094903305,36.77136111422852
JPN,37.59230133171728,138.03089567056307
JAM,18.15694883229984,-77.31482620602237
ITA,42.796628455173526,12.070012490777104
ISR,31.442606613657055,34.995340044251805
PSE,31.91613909725473,35.19628734147167
IRL,53.17544862852191,-8.137935860648833
IRQ,33.03970578417404,43.74353145010906
IRN,32.57503288886229,54.27407019245813
IDN,-2.2150545555317,117.24011301252456
IND,22.88578202437352,79.6119760658926
ISL,64.99575377225648,-18.57396163133524
HUN,47.16277510028202,19.395591227494727
HND,14.826881683798529,-86.61516609645248
HTI,18.935025712584064,-72.68527513211629
GUY,4.793780404702965,-58.9820245644334
GNB,12.047449670224816,-14.94972445196058
GIN,10.436215875444558,-10.940666054169723
GTM,15.694036592734623,-90.36482015626532
GRD,12.117250156080138,-61.68220170973455
GRC,39.07469618227488,22.955558037163506
GHA,7.953456440045552,-1.2167656294631835
DEU,51.106981861147716,10.385780583147856
GEO,42.16855755444175,43.50780241607904
GMB,13.449652297531474,-15.396013471564133
GAB,-0.5866003190884753,11.788628664146156
SPM,46.9191878878406,-56.303197904207934
WLF,-13.887370784407542,-177.3483493570583
MAF,18.08888596428679,-63.05972872888502
BLM,17.89880445974953,-62.840677829430355
PYF,-14.722277922976629,-144.90494175386
NCL,-21.299918214420973,165.6849234961535
ATF,-49.24895489323072,69.22666783432283
ALA,60.21488696702133,19.953287547713522
FIN,64.49884608153008,26.274665688800475
FJI,-17.42858017061617,165.45192870630996
ETH,8.622786770709581,39.60080090372519
EST,58.67192966307647,25.54248540564387
ERI,15.361866173600601,38.84617023823916
GNQ,1.7055514315959366,10.341378983632728
SLV,13.739437491161372,-88.8716447816881
EGY,26.495933048431507,29.861900886565117
ECU,-1.4238161076559879,-78.75201899790184
DOM,18.89433084580142,-70.50568909195026
DMA,15.439469863036065,-61.35772584993749
DJI,11.748718085348521,42.56067540929752
GRL,74.71051285452454,-41.34191141156685
FRO,62.05385425715823,-6.880954116524939
DNK,55.98125290564875,10.02800999796068
CZE,49.73341226990629,15.31240170131836
CYP,34.91667213025863,33.00600228532549
CUB,21.622895238934326,-79.01605390006061
HRV,45.08047635161338,16.404129072554706
CIV,7.628426137922282,-5.569215695776789
CRI,9.97634462132111,-84.19208763529666
COD,-2.877462875397234,23.643961052224963
COG,-0.8378745191887186,15.219657685134603
COM,-11.877834621783405,43.68253980865271
COL,3.9138342423656405,-73.08114576069248
CHN,36.56176537022446,103.81907311337008
MAC,22.223116782828473,113.50932142450465
HKG,22.39827751993525,114.11380445516666
CHL,-37.73070982238712,-71.38256219945653
TCD,15.333337540901141,18.644925153832563
CAF,6.568232930959856,20.468268264657162
CPV,15.955233100503113,-23.959887876123418
CAN,61.362063124417475,-98.30777024439355
CMR,5.691098436367554,12.739641543238365
KHM,12.720047805471612,104.90694325360381
MMR,21.185666008229642,96.4884332780984
BDI,-3.3593964978581217,29.875121660066206
BFA,12.269538387584289,-1.754566051456966
BGR,42.7689032111539,25.215529087195904
BRN,4.519689520318736,114.72203024088569
BRA,-10.787777021196728,-53.09783111307787
BWA,-22.184032161589155,23.798533664709733
BIH,44.17450126458697,17.768767347722733
BOL,-16.70814790277425,-64.68538643478833
BTN,27.41106595522492,90.40188156425607
BEN,9.641759630365259,2.3278525578953806
BLZ,17.200275136310893,-88.71010501489167
BEL,50.63958963839609,4.6387358474525175
BLR,53.53131376730804,28.032093185437418
BRB,13.1814543566642,-59.55979707352791
BGD,23.8673117629234,90.23812727973277
BHR,26.042051574546925,50.541969299150885
BHS,24.290366094136022,-76.62842948956425
AZE,40.2882723938508,47.545999002835934
AUT,47.58549439786609,14.126476233570664
AUS,-25.73288704929431,134.4910001020378
HMD,-53.087246415245744,73.52051699907683
NFK,-29.051460881653693,167.9492168036285
ARM,40.28952553604632,44.92993298005208
ARG,-35.38134880612299,-65.1798069082599
ATG,17.277499842431514,-61.79469331919649
AGO,-12.293360544486232,17.537367756972095
AND,42.54229103614519,1.5605436768259973
DZA,28.15893844533861,2.617322947043704
ALB,41.142449921024436,20.049833972289935
AFG,33.83523070138696,66.00473367230742
ATA,-80.50857924167279,19.92108932668391
SXM,18.050816911797032,-63.05713363841005
TUV,-8.503451650303901,179.20556529296348
