country,countryLabel,language,type,count
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q143,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q809,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7979,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,747
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,11
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,7
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13248,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7976,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q36510,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q327274,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,746
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,13
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,7
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,5
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q34131,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q306626,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,571
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,27
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,8
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13248,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1321,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7918,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q8798,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
