country,countryLabel,ageGroup,count
http://www.wikidata.org/entity/Q786,Dominican Republic,60+ senior,568
http://www.wikidata.org/entity/Q736,Ecuador,15-24 youth,71
http://www.wikidata.org/entity/Q736,Ecuador,25-59 adult,1807
http://www.wikidata.org/entity/Q736,Ecuador,60+ senior,656
http://www.wikidata.org/entity/Q79,Egypt,0-14 child,1
http://www.wikidata.org/entity/Q79,Egypt,15-24 youth,94
http://www.wikidata.org/entity/Q79,Egypt,25-59 adult,2221
http://www.wikidata.org/entity/Q79,Egypt,60+ senior,1807
http://www.wikidata.org/entity/Q792,El Salvador,15-24 youth,8
http://www.wikidata.org/entity/Q792,El Salvador,25-59 adult,512
http://www.wikidata.org/entity/Q792,El Salvador,60+ senior,282
http://www.wikidata.org/entity/Q983,Equatorial Guinea,15-24 youth,18
http://www.wikidata.org/entity/Q983,Equatorial Guinea,25-59 adult,156
http://www.wikidata.org/entity/Q983,Equatorial Guinea,60+ senior,56
http://www.wikidata.org/entity/Q986,Eritrea,15-24 youth,2
http://www.wikidata.org/entity/Q986,Eritrea,25-59 adult,132
http://www.wikidata.org/entity/Q986,Eritrea,60+ senior,70
http://www.wikidata.org/entity/Q191,Estonia,15-24 youth,150
http://www.wikidata.org/entity/Q191,Estonia,25-59 adult,5349
http://www.wikidata.org/entity/Q191,Estonia,60+ senior,6858
http://www.wikidata.org/entity/Q1050,Eswatini,15-24 youth,5
http://www.wikidata.org/entity/Q1050,Eswatini,25-59 adult,87
http://www.wikidata.org/entity/Q1050,Eswatini,60+ senior,15
http://www.wikidata.org/entity/Q115,Ethiopia,15-24 youth,17
http://www.wikidata.org/entity/Q115,Ethiopia,25-59 adult,671
http://www.wikidata.org/entity/Q115,Ethiopia,60+ senior,197
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,25-59 adult,24
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,60+ senior,11
http://www.wikidata.org/entity/Q712,Fiji,15-24 youth,10
http://www.wikidata.org/entity/Q712,Fiji,25-59 adult,569
http://www.wikidata.org/entity/Q712,Fiji,60+ senior,91
http://www.wikidata.org/entity/Q33,Finland,0-14 child,1
http://www.wikidata.org/entity/Q33,Finland,15-24 youth,230
http://www.wikidata.org/entity/Q33,Finland,25-59 adult,7564
http://www.wikidata.org/entity/Q33,Finland,60+ senior,5125
http://www.wikidata.org/entity/Q142,France,0-14 child,11
http://www.wikidata.org/entity/Q142,France,15-24 youth,1342
http://www.wikidata.org/entity/Q142,France,25-59 adult,34975
http://www.wikidata.org/entity/Q142,France,60+ senior,34552
http://www.wikidata.org/entity/Q1000,Gabon,15-24 youth,19
http://www.wikidata.org/entity/Q1000,Gabon,25-59 adult,264
http://www.wikidata.org/entity/Q1000,Gabon,60+ senior,96
http://www.wikidata.org/entity/Q230,Georgia,0-14 child,1
http://www.wikidata.org/entity/Q230,Georgia,15-24 youth,51
http://www.wikidata.org/entity/Q230,Georgia,25-59 adult,2456
http://www.wikidata.org/entity/Q230,Georgia,60+ senior,2405
http://www.wikidata.org/entity/Q183,Germany,0-14 child,32
http://www.wikidata.org/entity/Q183,Germany,15-24 youth,1960
http://www.wikidata.org/entity/Q183,Germany,25-59 adult,62166
http://www.wikidata.org/entity/Q183,Germany,60+ senior,77940
http://www.wikidata.org/entity/Q117,Ghana,0-14 child,2
http://www.wikidata.org/entity/Q117,Ghana,15-24 youth,111
http://www.wikidata.org/entity/Q117,Ghana,25-59 adult,2104
http://www.wikidata.org/entity/Q117,Ghana,60+ senior,786
http://www.wikidata.org/entity/Q41,Greece,0-14 child,8
http://www.wikidata.org/entity/Q41,Greece,15-24 youth,187
http://www.wikidata.org/entity/Q41,Greece,25-59 adult,5820
http://www.wikidata.org/entity/Q41,Greece,60+ senior,4702
http://www.wikidata.org/entity/Q769,Grenada,15-24 youth,2
http://www.wikidata.org/entity/Q769,Grenada,25-59 adult,118
http://www.wikidata.org/entity/Q769,Grenada,60+ senior,53
http://www.wikidata.org/entity/Q774,Guatemala,0-14 child,1
http://www.wikidata.org/entity/Q774,Guatemala,15-24 youth,17
http://www.wikidata.org/entity/Q774,Guatemala,25-59 adult,553
http://www.wikidata.org/entity/Q774,Guatemala,60+ senior,297
http://www.wikidata.org/entity/Q1006,Guinea,15-24 youth,40
http://www.wikidata.org/entity/Q1006,Guinea,25-59 adult,517
http://www.wikidata.org/entity/Q1006,Guinea,60+ senior,178
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,15-24 youth,21
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,25-59 adult,206
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,60+ senior,71
http://www.wikidata.org/entity/Q734,Guyana,15-24 youth,3
http://www.wikidata.org/entity/Q734,Guyana,25-59 adult,254
http://www.wikidata.org/entity/Q734,Guyana,60+ senior,174
http://www.wikidata.org/entity/Q790,Haiti,15-24 youth,28
http://www.wikidata.org/entity/Q790,Haiti,25-59 adult,622
http://www.wikidata.org/entity/Q790,Haiti,60+ senior,320
http://www.wikidata.org/entity/Q783,Honduras,15-24 youth,20
http://www.wikidata.org/entity/Q783,Honduras,25-59 adult,742
http://www.wikidata.org/entity/Q783,Honduras,60+ senior,197
http://www.wikidata.org/entity/Q28,Hungary,0-14 child,10
http://www.wikidata.org/entity/Q28,Hungary,15-24 youth,306
http://www.wikidata.org/entity/Q28,Hungary,25-59 adult,9801
http://www.wikidata.org/entity/Q28,Hungary,60+ senior,10556
http://www.wikidata.org/entity/Q189,Iceland,15-24 youth,38
http://www.wikidata.org/entity/Q189,Iceland,25-59 adult,1082
http://www.wikidata.org/entity/Q189,Iceland,60+ senior,503
http://www.wikidata.org/entity/Q668,India,0-14 child,12
http://www.wikidata.org/entity/Q668,India,15-24 youth,416
http://www.wikidata.org/entity/Q668,India,25-59 adult,13899
http://www.wikidata.org/entity/Q668,India,60+ senior,9763
http://www.wikidata.org/entity/Q252,Indonesia,0-14 child,27
http://www.wikidata.org/entity/Q252,Indonesia,15-24 youth,492
http://www.wikidata.org/entity/Q252,Indonesia,25-59 adult,15704
http://www.wikidata.org/entity/Q252,Indonesia,60+ senior,7675
http://www.wikidata.org/entity/Q794,Iran,0-14 child,5
http://www.wikidata.org/entity/Q794,Iran,15-24 youth,355
http://www.wikidata.org/entity/Q794,Iran,25-59 adult,6571
http://www.wikidata.org/entity/Q794,Iran,60+ senior,4388
http://www.wikidata.org/entity/Q796,Iraq,15-24 youth,24
http://www.wikidata.org/entity/Q796,Iraq,25-59 adult,1179
http://www.wikidata.org/entity/Q796,Iraq,60+ senior,1661
http://www.wikidata.org/entity/Q27,Ireland,15-24 youth,111
http://www.wikidata.org/entity/Q27,Ireland,25-59 adult,4724
http://www.wikidata.org/entity/Q27,Ireland,60+ senior,2615
http://www.wikidata.org/entity/Q801,Israel,0-14 child,2
http://www.wikidata.org/entity/Q801,Israel,15-24 youth,255
http://www.wikidata.org/entity/Q801,Israel,25-59 adult,7845
http://www.wikidata.org/entity/Q801,Israel,60+ senior,6884
http://www.wikidata.org/entity/Q38,Italy,0-14 child,12
http://www.wikidata.org/entity/Q38,Italy,15-24 youth,1101
http://www.wikidata.org/entity/Q38,Italy,25-59 adult,32805
http://www.wikidata.org/entity/Q38,Italy,60+ senior,35621
http://www.wikidata.org/entity/Q1008,Ivory Coast,15-24 youth,86
http://www.wikidata.org/entity/Q1008,Ivory Coast,25-59 adult,1327
http://www.wikidata.org/entity/Q1008,Ivory Coast,60+ senior,312
