Country,Gender,Count
Malaysia,Unknown,425
Malaysia,Non-binary or other,1
Maldives,Male,201
Maldives,Female,62
Maldives,Unknown,6
Maldives,Non-binary or other,1
Mali,Male,821
Mali,Female,247
Mali,Unknown,1
Malta,Male,824
Malta,Female,184
Malta,Non-binary or other,3
Malta,Unknown,1
Marshall Islands,Male,25
Marshall Islands,Female,9
Mauritania,Male,235
Mauritania,Female,45
Mauritania,Unknown,12
Mauritius,Male,318
Mauritius,Female,129
Mauritius,Unknown,6
Mauritius,Non-binary or other,2
Mexico,Male,15304
Mexico,Female,6097
Mexico,Unknown,98
Mexico,Non-binary or other,25
Moldova,Male,2677
Moldova,Female,683
Moldova,Unknown,11
Monaco,Male,250
Monaco,Female,69
Monaco,Unknown,1
Mongolia,Male,650
Mongolia,Unknown,207
Mongolia,Female,186
Montenegro,Male,1790
Montenegro,Female,291
Montenegro,Unknown,134
Montenegro,Non-binary or other,1
Montserrat,Male,16
Montserrat,Female,4
Morocco,Male,4812
Morocco,Female,1135
Morocco,Unknown,56
Mozambique,Male,565
Mozambique,Female,203
Mozambique,Unknown,3
Myanmar,Male,1151
Myanmar,Female,439
Myanmar,Unknown,123
Namibia,Male,623
Namibia,Female,187
Namibia,Unknown,3
Namibia,Non-binary or other,2
Nauru,Male,58
Nauru,Female,15
Nauru,Unknown,1
Nepal,Male,1037
Nepal,Female,356
Nepal,Unknown,60
Nepal,Non-binary or other,1
New Zealand,Male,9870
New Zealand,Female,3236
New Zealand,Unknown,73
New Zealand,Non-binary or other,18
Nicaragua,Male,499
Nicaragua,Female,169
Nicaragua,Unknown,13
Niger,Male,410
Niger,Female,75
Niger,Unknown,40
Niger,Non-binary or other,1
Nigeria,Male,7459
Nigeria,Female,2431
Nigeria,Unknown,49
Nigeria,Non-binary or other,11
Niue,Male,18
Niue,Female,5
North Korea,Male,802
North Korea,Female,264
North Korea,Unknown,39
North Macedonia,Male,3976
North Macedonia,Female,951
North Macedonia,Unknown,358
Northern Cyprus,Male,233
