Country,Ethnic Group,Gender,Count
Bulgaria,Turks in Bulgaria,Male,10
Bulgaria,ethnic Macedonians in Bulgaria,Male,21
Burkina Faso,Bambara,Male,1
Burkina Faso,Dinka people,Male,1
Burkina Faso,Gurunsi people,Male,1
Burkina Faso,Mossi people,Female,1
Burkina Faso,Mossi people,Male,1
Burundi,Franco-Ontarians,Female,1
Cambodia,Cambodian Americans,Male,1
Cambodia,Cambodians,Unknown,1
Cambodia,Chinese Cambodians,Male,1
Cambodia,Chinese Cambodians,Unknown,1
Cambodia,European New Zealanders,Male,1
Cambodia,Khmer people,Female,1
Cambodia,Khmer people,Male,2
Cambodia,Khmer people,Unknown,3
Cambodia,Thai people,Unknown,1
Cambodia,Vietnamese New Zealanders,Male,1
Cambodia,Vietnamese people,Male,1
Cameroon,African people,Female,2
Cameroon,Afro-Spaniard,Female,1
Cameroon,Bamileke people,Female,2
Cameroon,Bamileke people,Male,1
Cameroon,Bamun people,Male,1
Cameroon,Basa people,Female,1
Cameroon,Black people,Female,1
Cameroon,Black people,Male,1
Cameroon,Dinka people,Male,1
Cameroon,Igbo people,Female,2
Cameroon,Mvog-Betsi,Male,1
Cameroon,Sawa people,Male,1
Canada,Anishinaabe,Female,8
Canada,Anishinaabe,Male,6
Canada,Anishinaabe,Non-binary or other,1
Canada,Anishinaabe,Unknown,1
Canada,Atikamekw people,Female,5
Canada,Atikamekw people,Male,6
Canada,Black Canadians,Female,5
Canada,Black Canadians,Male,9
Canada,Black Canadians,Non-binary or other,1
Canada,Canadians,Female,3
Canada,Canadians,Male,18
Canada,Canadians,Non-binary or other,1
Canada,Cree,Female,18
Canada,Cree,Male,17
Canada,Cree,Non-binary or other,2
Canada,Cree,Unknown,1
Canada,Innu people,Female,9
Canada,Innu people,Male,14
Canada,Inuit,Female,30
Canada,Inuit,Male,50
Canada,Inuit,Unknown,2
Canada,Japanese Canadians,Female,99
Canada,Japanese Canadians,Male,87
Canada,Japanese Canadians,Non-binary or other,2
Canada,Japanese Canadians,Unknown,6
Canada,Mi’kmaw,Female,7
Canada,Mi’kmaw,Male,16
Canada,Mohawk,Female,14
Canada,Mohawk,Male,13
Canada,Mohawk,Non-binary or other,2
Canada,Métis,Female,19
Canada,Métis,Male,8
Canada,Métis,Non-binary or other,2
Canada,Métis,Unknown,3
Canada,Ojibwe,Female,11
Canada,Ojibwe,Male,9
Canada,Ojibwe,Unknown,2
Cape Verde,African diaspora,Female,1
Cape Verde,Black people,Female,1
Central African Republic,Dinka people,Male,1
Central African Republic,Ngbaka people,Male,1
Central African Republic,Sara people,Male,1
Central African Republic,Yakoma people,Female,1
Central African Republic,Yakoma people,Male,2
Chad,Banda people,Female,1
Chad,Dinka people,Male,1
Chad,Zaghawa people,Male,2
Chile,Afro-Chilean,Male,1
Chile,Arabs,Male,1
Chile,Aymara,Male,1
Chile,Chilean Americans,Male,2
Chile,Chilean Canadians,Female,1
Chile,Chileans,Male,3
Chile,Croats,Male,2
Chile,Diaguitas,Male,2
Chile,Huilliche people,Female,1
Chile,Huilliche people,Male,1
Chile,Jewish people,Male,3
Chile,Mapuche,Female,13
Chile,Mapuche,Male,13
Chile,Mapuche,Non-binary or other,2
Chile,Rapa Nui people,Female,5
Chile,Rapa Nui people,Male,1
Colombia,Afro-Colombians,Female,9
Colombia,Arhuaco people,Female,1
Colombia,Basque Colombians,Female,1
Colombia,Black people,Male,1
Colombia,Colombian Americans,Male,2
Colombia,Colombians,Male,2
Colombia,Guambiano,Female,2
Colombia,Mediterranean race,Female,2
Colombia,Mestizo Colombian,Male,2
Colombia,Muisca people,Female,2
Colombia,Muisca people,Male,1
Colombia,Paez people,Female,4
Colombia,Paez people,Male,3
Colombia,Wayuu people,Female,2
Colombia,Wayuu people,Male,1
Cook Islands,Cook Islands Maori,Male,1
Cook Islands,Cook Islands Maori people,Female,1
Cook Islands,Cook Islands Maori people,Male,2
Cook Islands,Māori,Female,1
Cook Islands,Samoans,Female,1
Costa Rica,Afro-Costa Rican,Female,1
Costa Rica,Black people,Female,2
Costa Rica,Latino,Female,2
Costa Rica,Mexicans,Male,2
Croatia,Croatian Americans,Male,1
Croatia,Croatian Americans,Unknown,1
Croatia,Croatian Canadians,Female,1
Croatia,Croats,Female,3
Croatia,Croats,Male,17
Croatia,Croats in France,Male,1
Croatia,Croats in Germany,Unknown,2
Croatia,Croats of Bosnia and Herzegovina,Unknown,2
Croatia,Croats of Serbia,Female,1
Croatia,Croats of Serbia,Unknown,2
Croatia,Czechs,Female,1
Croatia,Czechs,Male,2
Croatia,Jewish people,Male,1
Croatia,Jewish people,Unknown,2
Croatia,Serbs,Male,3
Croatia,Serbs,Unknown,4
Croatia,Serbs in Dalmatia,Unknown,2
Croatia,Serbs of Croatia,Male,5
Croatia,Serbs of Croatia,Unknown,9
Cuba,African Americans,Female,1
Cuba,African Americans,Male,7
Cuba,Afro Mexicans,Female,1
Cuba,Afro-Cuban,Female,3
Cuba,Afro-Cuban,Male,5
Cuba,Afro-Cuban,Unknown,1
Cuba,Basque people,Male,5
Cuba,Cuban Americans,Female,7
Cuba,Cuban Americans,Male,6
Cuba,Cubans,Male,3
Cuba,Dinka people,Female,1
Cuba,Galicians,Female,3
Cuba,Galicians,Male,26
Cuba,Hispanics,Female,1
Cuba,Spaniards,Female,1
Curaçao,Afro Caribbeans,Male,1
Curaçao,Afro-Curaçaoan,Female,1
Curaçao,Curaçaoans in the Netherlands,Male,1
Cyprus,Arab Canadians,Female,1
Cyprus,Armenian Americans,Male,1
Cyprus,Armenians,Male,1
Cyprus,Armenians in Cyprus,Female,1
Cyprus,Greek Cypriots,Male,1
Cyprus,Greeks,Female,1
Cyprus,Greeks,Male,4
Cyprus,Turkish Cypriots,Female,1
Cyprus,Turkish Cypriots,Male,1
Czech Republic,Ashkenazi Jews,Male,2
Czech Republic,Austrian Silesia,Female,1
Czech Republic,Czech Americans,Male,4
Czech Republic,Czechs,Female,39
Czech Republic,Czechs,Male,1198
Czech Republic,Germans,Female,1
Czech Republic,Germans,Male,36
Czech Republic,Jewish people,Female,4
Czech Republic,Jewish people,Male,9
Czech Republic,Romani people,Female,4
Czech Republic,Romani people,Male,3
Czech Republic,Romani people in Czechoslovakia,Female,2
Czech Republic,Slovaks,Female,1
Czech Republic,Slovaks,Male,7
Czech Republic,Sudeten Germans,Female,1
Czech Republic,Sudeten Germans,Male,2
Czech Republic,Volksdeutsche,Male,12
Czech Republic,white people,Female,3
Democratic Republic of the Congo,African Americans,Male,2
Democratic Republic of the Congo,African Brazilians,Male,1
Democratic Republic of the Congo,Greek Cypriots,Female,1
Democratic Republic of the Congo,Luba people,Male,1
Democratic Republic of the Congo,Ntomba people,Male,1
Democratic Republic of the Congo,South Kivu,Male,2
Denmark,African Americans,Male,1
Denmark,Danes,Female,9
Denmark,Danes,Male,8
Denmark,Ethiopian,Female,1
Denmark,Kurds,Male,1
Denmark,Palestinians,Female,1
Denmark,Somalis,Female,1
Denmark,Turks,Female,1
Denmark,Volksdeutsche,Male,1
Djibouti,Black Canadians,Male,1
Djibouti,Dinka people,Male,1
Djibouti,Q25682470,Unknown,1
Dominica,African Americans,Female,1
Dominica,African Americans,Male,1
Dominica,Kalinago,Female,1
Dominican Republic,Category:Dominican Republic people of African American descent,Male,1
Dominican Republic,Dominican Americans,Female,1
Dominican Republic,Dominican Americans,Male,1
Dominican Republic,Dominicans,Female,2
Dominican Republic,Dominicans,Male,1
Dominican Republic,White Dominicans,Male,1
Dominican Republic,white people,Female,1
Ecuador,Achuar people,Male,1
Ecuador,Afro Ecuadorian,Female,3
Ecuador,Ecuadorian Canadians,Male,1
Ecuador,Quechua people,Female,6
Ecuador,Quechua people,Male,5
Ecuador,Shuar,Female,1
Ecuador,Tsáchila,Female,1
Ecuador,Waorani people,Female,1
Egypt,African people,Female,3
Egypt,Arab Canadians,Female,1
Egypt,Arabs,Male,2
Egypt,Armenians,Female,5
Egypt,Armenians,Male,11
Egypt,Copts,Male,2
Egypt,Dinka people,Female,1
Egypt,Egyptian Americans,Male,1
Egypt,Egyptians,Female,1
Egypt,Egyptians,Male,3
Egypt,Greeks,Male,2
Egypt,Greeks,Unknown,1
Egypt,Italians,Male,1
Egypt,Palestinians in the United States,Male,1
Egypt,Syrians,Male,1
El Salvador,Nahua,Female,1
El Salvador,Pipil people,Female,2
El Salvador,Pipil people,Male,1
El Salvador,Salvadoran Americans,Male,2
Equatorial Guinea,Afro-Spaniard,Female,1
Equatorial Guinea,Afro-Spaniard,Male,1
Equatorial Guinea,Benga people,Male,1
Equatorial Guinea,Black people,Male,1
Equatorial Guinea,Bubi people,Male,2
Equatorial Guinea,Fang people,Female,4
Equatorial Guinea,Fernandino peoples,Male,1
Eritrea,Dinka people,Male,1
Eritrea,Italian Eritreans,Female,1
Estonia,Estonian Americans,Male,1
Estonia,Estonians,Female,3
Estonia,Estonians,Male,13
Estonia,Estonians,Unknown,1
Estonia,Estonians in New Zealand,Male,1
Estonia,Russian Jews,Male,1
Estonia,Ukrainians in Finland,Male,1
Ethiopia,African Americans,Female,1
Ethiopia,African Americans,Male,2
Ethiopia,Amhara people,Female,1
Ethiopia,Beta Israel,Male,1
Ethiopia,Dinka people,Male,1
Ethiopia,Ethiopian Americans,Female,1
Ethiopia,Frisians,Male,1
Ethiopia,Irob people,Male,1
Ethiopia,Oromo people,Male,5
Ethiopia,Tigray people,Male,1
Faroe Islands,Faroese,Male,1
Fiji,Rotuman people,Male,2
Fiji,Solomon Islander,Female,1
Fiji,Solomon Islander,Male,1
Finland,Estonians,Female,2
Finland,Finnish Kale,Female,2
