Country,Age Group,Count
Japan,15-24 youth,2322
Japan,25-59 adult,57526
Japan,60+ senior,36030
Jordan,0-14 child,1
Jordan,15-24 youth,18
Jordan,25-59 adult,571
Jordan,60+ senior,277
Kazakhstan,0-14 child,1
Kazakhstan,15-24 youth,159
Kazakhstan,25-59 adult,3378
Kazakhstan,60+ senior,3211
Kenya,15-24 youth,23
Kenya,25-59 adult,1410
Kenya,60+ senior,453
Kingdom of the Netherlands,15-24 youth,20
Kingdom of the Netherlands,25-59 adult,486
Kingdom of the Netherlands,60+ senior,353
Kiribati,25-59 adult,30
Kiribati,60+ senior,11
Kosovo,15-24 youth,17
Kosovo,25-59 adult,875
Kosovo,60+ senior,311
Kuwait,15-24 youth,3
Kuwait,25-59 adult,430
Kuwait,60+ senior,205
Kyrgyzstan,15-24 youth,16
Kyrgyzstan,25-59 adult,596
Kyrgyzstan,60+ senior,556
Laos,15-24 youth,6
Laos,25-59 adult,135
Laos,60+ senior,68
Latvia,15-24 youth,78
Latvia,25-59 adult,2321
Latvia,60+ senior,1443
Lebanon,15-24 youth,27
Lebanon,25-59 adult,1188
Lebanon,60+ senior,1049
Lesotho,15-24 youth,5
Lesotho,25-59 adult,108
Lesotho,60+ senior,32
Liberia,15-24 youth,12
Liberia,25-59 adult,335
Liberia,60+ senior,45
Libya,15-24 youth,5
Libya,25-59 adult,242
Libya,60+ senior,224
Liechtenstein,15-24 youth,8
Liechtenstein,25-59 adult,138
Liechtenstein,60+ senior,113
Lithuania,0-14 child,1
Lithuania,15-24 youth,63
Lithuania,25-59 adult,2473
Lithuania,60+ senior,3398
Luxembourg,0-14 child,5
Luxembourg,15-24 youth,27
Luxembourg,25-59 adult,793
Luxembourg,60+ senior,836
Madagascar,15-24 youth,3
Madagascar,25-59 adult,216
Madagascar,60+ senior,141
Malawi,15-24 youth,11
Malawi,25-59 adult,170
Malawi,60+ senior,41
Malaysia,0-14 child,8
Malaysia,15-24 youth,98
Malaysia,25-59 adult,3342
Malaysia,60+ senior,1207
Maldives,15-24 youth,2
Maldives,25-59 adult,178
Maldives,60+ senior,39
Mali,15-24 youth,50
Mali,25-59 adult,534
Mali,60+ senior,273
Malta,15-24 youth,10
Malta,25-59 adult,350
Malta,60+ senior,276
Marshall Islands,25-59 adult,14
Marshall Islands,60+ senior,6
Mauritania,15-24 youth,2
Mauritania,25-59 adult,120
Mauritania,60+ senior,87
Mauritius,15-24 youth,1
Mauritius,25-59 adult,213
Mauritius,60+ senior,82
Mexico,0-14 child,8
Mexico,15-24 youth,323
Mexico,25-59 adult,9315
Mexico,60+ senior,5952
Moldova,15-24 youth,40
Moldova,25-59 adult,1309
Moldova,60+ senior,809
Monaco,0-14 child,4
Monaco,15-24 youth,8
Monaco,25-59 adult,105
Monaco,60+ senior,91
Mongolia,15-24 youth,9
Mongolia,25-59 adult,502
Mongolia,60+ senior,297
Montenegro,15-24 youth,50
Montenegro,25-59 adult,1041
Montenegro,60+ senior,394
Montserrat,25-59 adult,13
Montserrat,60+ senior,3
Morocco,0-14 child,1
Morocco,15-24 youth,78
Morocco,25-59 adult,2200
Morocco,60+ senior,2100
Mozambique,15-24 youth,3
Mozambique,25-59 adult,335
Mozambique,60+ senior,225
Myanmar,15-24 youth,8
Myanmar,25-59 adult,603
Myanmar,60+ senior,482
Namibia,15-24 youth,12
Namibia,25-59 adult,497
Namibia,60+ senior,147
Nauru,25-59 adult,34
Nauru,60+ senior,16
Nepal,0-14 child,2
Nepal,15-24 youth,22
Nepal,25-59 adult,644
Nepal,60+ senior,293
New Zealand,0-14 child,4
New Zealand,15-24 youth,147
New Zealand,25-59 adult,5148
New Zealand,60+ senior,2948
Nicaragua,15-24 youth,11
Nicaragua,25-59 adult,287
Nicaragua,60+ senior,175
Niger,15-24 youth,8
Niger,25-59 adult,151
Niger,60+ senior,163
Nigeria,0-14 child,3
Nigeria,15-24 youth,225
Nigeria,25-59 adult,4627
Nigeria,60+ senior,2047
Niue,25-59 adult,5
Niue,60+ senior,3
North Korea,0-14 child,1
North Korea,15-24 youth,7
North Korea,25-59 adult,357
North Korea,60+ senior,243
North Macedonia,15-24 youth,45
North Macedonia,25-59 adult,1594
North Macedonia,60+ senior,1315
Northern Cyprus,15-24 youth,1
Northern Cyprus,25-59 adult,65
Northern Cyprus,60+ senior,107
Norway,0-14 child,1
Norway,15-24 youth,372
Norway,25-59 adult,8338
Norway,60+ senior,13535
Oman,15-24 youth,8
Oman,25-59 adult,221
Oman,60+ senior,16
Pakistan,0-14 child,2
Pakistan,15-24 youth,48
Pakistan,25-59 adult,2799
Pakistan,60+ senior,1720
Palau,15-24 youth,2
Palau,25-59 adult,14
Palau,60+ senior,18
Palestine,15-24 youth,40
Palestine,25-59 adult,1446
Palestine,60+ senior,1857
Panama,15-24 youth,42
Panama,25-59 adult,733
Panama,60+ senior,287
Papua New Guinea,25-59 adult,288
Papua New Guinea,60+ senior,60
Paraguay,0-14 child,1
